baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
persistence,val,14,2024-07-01T20:00:00,2024-07-02T02:00:00,swvl1,351848,4.251229e-03,1.121877e-02,-7.322665e-04
persistence,val,14,2024-07-01T20:00:00,2024-07-02T02:00:00,stl1,351848,2.374545e+00,3.591474e+00,6.484861e-01
persistence,val,14,2024-07-01T20:00:00,2024-07-02T02:00:00,sd,351848,3.101296e-05,3.143909e-04,2.533064e-06
persistence,val,15,2024-07-01T21:00:00,2024-07-02T03:00:00,swvl1,351848,4.395953e-03,1.141416e-02,-5.689368e-04
persistence,val,15,2024-07-01T21:00:00,2024-07-02T03:00:00,stl1,351848,2.533030e+00,3.815041e+00,4.334241e-01
persistence,val,15,2024-07-01T21:00:00,2024-07-02T03:00:00,sd,351848,3.169376e-05,3.230966e-04,1.885719e-06
persistence,val,16,2024-07-01T22:00:00,2024-07-02T04:00:00,swvl1,351848,3.522326e-03,9.770236e-03,8.044280e-05
persistence,val,16,2024-07-01T22:00:00,2024-07-02T04:00:00,stl1,351848,2.350608e+00,3.617867e+00,3.080530e-01
persistence,val,16,2024-07-01T22:00:00,2024-07-02T04:00:00,sd,351848,3.082692e-05,3.089691e-04,2.074880e-06
persistence,val,17,2024-07-01T23:00:00,2024-07-02T05:00:00,swvl1,351848,3.627132e-03,9.823926e-03,2.447102e-04
persistence,val,17,2024-07-01T23:00:00,2024-07-02T05:00:00,stl1,351848,2.709967e+00,4.155066e+00,-2.785371e-01
persistence,val,17,2024-07-01T23:00:00,2024-07-02T05:00:00,sd,351848,3.142413e-05,3.102313e-04,2.895947e-06
persistence,val,18,2024-07-02T00:00:00,2024-07-02T06:00:00,swvl1,351848,3.759802e-03,9.935429e-03,3.893084e-04
persistence,val,18,2024-07-02T00:00:00,2024-07-02T06:00:00,stl1,351848,2.800738e+00,4.412130e+00,-5.989482e-01
persistence,val,18,2024-07-02T00:00:00,2024-07-02T06:00:00,sd,351848,1.445176e-05,1.960153e-04,-8.602010e-07
persistence,val,19,2024-07-02T01:00:00,2024-07-02T07:00:00,swvl1,351848,3.898514e-03,1.008815e-02,4.800644e-04
persistence,val,19,2024-07-02T01:00:00,2024-07-02T07:00:00,stl1,351848,2.882029e+00,4.589467e+00,-9.503063e-01
persistence,val,19,2024-07-02T01:00:00,2024-07-02T07:00:00,sd,351848,1.514435e-05,1.983486e-04,9.985218e-07
persistence,val,20,2024-07-02T02:00:00,2024-07-02T08:00:00,swvl1,351848,4.011152e-03,1.029967e-02,4.947463e-04
persistence,val,20,2024-07-02T02:00:00,2024-07-02T08:00:00,stl1,351848,2.758937e+00,4.464171e+00,-1.078087e+00
persistence,val,20,2024-07-02T02:00:00,2024-07-02T08:00:00,sd,351848,1.586612e-05,2.059916e-04,2.773843e-06
