baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
climatology,val,14,2024-07-01T20:00:00,2024-07-02T02:00:00,swvl1,351848,2.618769e-02,4.357345e-02,3.047774e-03
climatology,val,14,2024-07-01T20:00:00,2024-07-02T02:00:00,stl1,351848,2.123608e+00,3.087051e+00,-6.659291e-01
climatology,val,14,2024-07-01T20:00:00,2024-07-02T02:00:00,sd,351848,2.246212e-03,1.245778e-02,1.809488e-03
climatology,val,15,2024-07-01T21:00:00,2024-07-02T03:00:00,swvl1,351848,2.616674e-02,4.349938e-02,3.061751e-03
climatology,val,15,2024-07-01T21:00:00,2024-07-02T03:00:00,stl1,351848,2.098147e+00,3.056153e+00,-6.674744e-01
climatology,val,15,2024-07-01T21:00:00,2024-07-02T03:00:00,sd,351848,2.239758e-03,1.243491e-02,1.802214e-03
climatology,val,16,2024-07-01T22:00:00,2024-07-02T04:00:00,swvl1,351848,2.615229e-02,4.344564e-02,3.073715e-03
climatology,val,16,2024-07-01T22:00:00,2024-07-02T04:00:00,stl1,351848,2.123478e+00,3.075547e+00,-6.017324e-01
climatology,val,16,2024-07-01T22:00:00,2024-07-02T04:00:00,sd,351848,2.232811e-03,1.241054e-02,1.794868e-03
climatology,val,17,2024-07-01T23:00:00,2024-07-02T05:00:00,swvl1,351848,2.613600e-02,4.338522e-02,3.077728e-03
climatology,val,17,2024-07-01T23:00:00,2024-07-02T05:00:00,stl1,351848,2.153619e+00,3.113225e+00,-5.785094e-01
climatology,val,17,2024-07-01T23:00:00,2024-07-02T05:00:00,sd,351848,2.225308e-03,1.238475e-02,1.787005e-03
climatology,val,18,2024-07-02T00:00:00,2024-07-02T06:00:00,swvl1,351848,2.611625e-02,4.331098e-02,3.083251e-03
climatology,val,18,2024-07-02T00:00:00,2024-07-02T06:00:00,stl1,351848,2.164683e+00,3.140837e+00,-5.339704e-01
climatology,val,18,2024-07-02T00:00:00,2024-07-02T06:00:00,sd,351848,2.216931e-03,1.235558e-02,1.778334e-03
climatology,val,19,2024-07-02T01:00:00,2024-07-02T07:00:00,swvl1,351848,2.606787e-02,4.321061e-02,3.092920e-03
climatology,val,19,2024-07-02T01:00:00,2024-07-02T07:00:00,stl1,351848,2.173390e+00,3.162008e+00,-5.103428e-01
climatology,val,19,2024-07-02T01:00:00,2024-07-02T07:00:00,sd,351848,2.208197e-03,1.232389e-02,1.769491e-03
climatology,val,20,2024-07-02T02:00:00,2024-07-02T08:00:00,swvl1,351848,2.601929e-02,4.310949e-02,3.101105e-03
climatology,val,20,2024-07-02T02:00:00,2024-07-02T08:00:00,stl1,351848,2.185848e+00,3.182027e+00,-5.018324e-01
climatology,val,20,2024-07-02T02:00:00,2024-07-02T08:00:00,sd,351848,2.199788e-03,1.229215e-02,1.761141e-03
climatology,val,21,2024-07-02T03:00:00,2024-07-02T09:00:00,swvl1,351848,2.598378e-02,4.303657e-02,3.083311e-03
climatology,val,21,2024-07-02T03:00:00,2024-07-02T09:00:00,stl1,351848,2.205888e+00,3.202929e+00,-4.917360e-01
